SMILES,cluster,odour
CCCC(=O)OCCC(C)C,1,True
CCCCCCC(=O)OCC,1,True
CCCC(=O)OC(=O)CCC,6,True
CCCCCCCC(=O)OCC,1,True
CCCCCCCCCCCC(=O)OCC,5,True
CCCOC(=O)CC,4,True
CC1=CC=C(C=C1)O,4,True
C1=CC(=CC=C1Cl)Cl,4,True
COC(=O)CCC(=O)OC,4,True
CCCCCC(=O)CC,6,True
CCCCCCC(=O)OC,6,True
C=CC=O,0,True
CCCS,0,True
CCCN,0,True
C=CCO,0,True
C#CCO,0,True
COC=O,0,True
CC(CCCC(C)(C)O)CC=O,1,True
CC(=CC=O)C,4,True
CCCC(=O)C,4,True
CCCC(=O)O,4,True
C(CS)S,0,True
CC(C)CCS,4,True
CCC(C)CC(=O)CC,6,True
CC1CCCCCCCCCCCCC(=O)C1,7,True
CCN=C=S,0,True
CC(C)(CCCC(=C)C=C)O,1,True
CCCCCC(C)O,6,True
CCCCSCCCC,6,True
CC1C2CC2(CC1=O)C(C)C,1,True
CC(=O)CCC1=CC=C(C=C1)O,6,True
CC(=O)C1=CC=CC=C1N,4,True
CCC(=O)OC,4,True
CCC(C)C(=O)OC,4,True
CC(C)CC(=O)OC,4,True
CN=C=S,0,True
CSC#N,0,True
CC(=CCO)C,4,True
CCC=CCCC=CC=O,6,True
CC1=CC(=C(O1)C)SC(=O)C2=CC=CO2,9,True
CCCC=CC=CC=O,4,True
CCCCC(CC)C(=O)O,6,True
CC(C)C(=O)C,4,True
C=CCN=C=S,0,True
C1=CC=C(C=C1)C=CC=O,4,True
CCCCC1=C(SC=N1)C,6,True
CC1=C(C(=CC=C1)C)O,4,True
CCOC(=O)C(C(C(=O)OCC)O)O,1,True
CC1CCCCC1=O,4,True
CCC(CC)O,4,True
CC(=CCC(CO)C(=C)C)C,1,True
CCCCOCC1=CC=CC=C1,1,True
CC1=CC=C(C=C1)CO,4,True
CC(C)CC(=O)OCC(C)C,1,True
CCCCOC(=O)CC,6,True
CC(C)CC=O,4,True
CC1CCCC(C1)O,6,True
CCCCC(=O)C,4,True
CCCCC=CC=CC=O,6,True
CC1=NC=CN=C1C,4,True
CCCCOC=O,4,True
C=CCSCC=C,4,True
CCCCCC1CCCC(=O)O1,1,True
CC(CCC=C(C)C)CC=O,1,True
CCCCCCC(C)O,6,True
CC(C)C(C)O,4,True
CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC,7,True
C1=CC=C(C=C1)CCO,4,True
CCOCC,4,True
CCC(=O)C(=O)C,4,True
CCCC(C)O,4,True
CCCCCCC=CC=O,6,True
C1=CC=C(C=C1)C(=O)CN,4,True
CCOC(=O)C1=CC=CO1,4,True
CCC(C)CO,4,True
CCC(C=C)O,4,True
CC(=O)OC1CCCCC1,6,True
C1=CC(=CC=C1CO)O,4,True
CC(=O)OCC1=CC=CO1,4,True
C1=COC(=C1)C=CC=O,4,True
CCCC(=O)OC,4,True
CCCCCCCC(=O)OCCC,1,True
CCCCC(=O)OC,4,True
CCCCCOC(=O)CC,6,True
CCSC,0,True
CSSC,0,True
CCSC(=O)C,4,True
CC(C)SC(C)C,4,True
CC1=CC=C(O1)C,4,True
CCCC(C)OC(=O)C,6,True
CCCCC(C)O,4,True
CCCCCCCCCCC(=O)OCC,5,True
CCCCCOC(=O)C,6,True
CCCCCCCC(C)O,1,True
CCCSSCCC,6,True
CCCCCCCCCCCCC,5,True
CCCCCC1CCC(=O)O1,1,True
CCC(=O)OC(C)C,4,True
CC1=CC=C(S1)C,4,True
CCCC(=O)OC(C)C,6,True
CCCCCOC=O,4,True
COC1=C(C=C(C=C1)C=C)OC,6,True
CC(=C)C1CC(CCC1(C)C=C)C(C)(C)O,3,True
C1=CC=C(C=C1)CCN,4,True
CCO,0,True
C(=O)O,0,True
CC(=O)O,0,True
CCCOC(=O)C(C)C,6,True
CC(C)CCC(=O)O,4,True
CC1=CCC(CC1=O)C(=C)C,6,True
CC1CCC2(O1)C(CCCC2(C)O)(C)C,3,True
